Sector,Subsector,Country,Year,Flow,Measure Type,Unit,Value,Marker
telecoms,not-applicable,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,advertising-and-marketing,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,architecture,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,crafts,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,film-tv-radio-and-photography,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,it-software-and-computer-services,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,publishing,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,museums-galleries-and-libraries,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,manufacturing-of-electronics-and-computers,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,wholesale-of-computers-and-electronics,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,publishing-excluding-translation-and-interpretation-activities,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,software-publishing,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,film-tv-video-radio-and-music,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,telecommunications,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,computer-programming-consultancy-and-related-activities,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,information-service-activities,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,film-tv-and-music,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,radio,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,photography,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,cultural-crafts,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,liechtenstein,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,liechtenstein,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,liechtenstein,year/2018,imports,Current prices,GBP Million,0.2,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,norway,year/2018,imports,Current prices,GBP Million,139.8,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,norway,year/2018,imports,Current prices,GBP Million,77.7,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,norway,year/2018,imports,Current prices,GBP Million,254.3,
gambling,not-applicable,norway,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,norway,year/2018,imports,Current prices,GBP Million,1.9,
telecoms,not-applicable,norway,year/2018,imports,Current prices,GBP Million,25.9,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,norway,year/2018,imports,Current prices,GBP Million,261.5,
creative-industries,advertising-and-marketing,norway,year/2018,imports,Current prices,GBP Million,4.8,
creative-industries,architecture,norway,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,crafts,norway,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,norway,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,norway,year/2018,imports,Current prices,GBP Million,76.3,
creative-industries,it-software-and-computer-services,norway,year/2018,imports,Current prices,GBP Million,55.8,
creative-industries,publishing,norway,year/2018,imports,Current prices,GBP Million,1.4,
creative-industries,museums-galleries-and-libraries,norway,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,norway,year/2018,imports,Current prices,GBP Million,1.4,
digital-sector,manufacturing-of-electronics-and-computers,norway,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,norway,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,norway,year/2018,imports,Current prices,GBP Million,1.2,
digital-sector,software-publishing,norway,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,norway,year/2018,imports,Current prices,GBP Million,77.6,
digital-sector,telecommunications,norway,year/2018,imports,Current prices,GBP Million,25.9,
digital-sector,computer-programming-consultancy-and-related-activities,norway,year/2018,imports,Current prices,GBP Million,59.2,
digital-sector,information-service-activities,norway,year/2018,imports,Current prices,GBP Million,0.7,
digital-sector,repair-of-computers-and-communication-equipment,norway,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,norway,year/2018,imports,Current prices,GBP Million,0.1,
cultural-sector,film-tv-and-music,norway,year/2018,imports,Current prices,GBP Million,77.6,
cultural-sector,radio,norway,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,norway,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,norway,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,norway,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,norway,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,norway,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,norway,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,norway,year/2018,imports,Current prices,GBP Million,78.8,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,switzerland,year/2018,imports,Current prices,GBP Million,717.9,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,switzerland,year/2018,imports,Current prices,GBP Million,177.5,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,switzerland,year/2018,imports,Current prices,GBP Million,2188.0,
gambling,not-applicable,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,switzerland,year/2018,imports,Current prices,GBP Million,14.8,
telecoms,not-applicable,switzerland,year/2018,imports,Current prices,GBP Million,89.4,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,switzerland,year/2018,imports,Current prices,GBP Million,2227.2,
creative-industries,advertising-and-marketing,switzerland,year/2018,imports,Current prices,GBP Million,16.2,
creative-industries,architecture,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,switzerland,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,switzerland,year/2018,imports,Current prices,GBP Million,3.4,
creative-industries,film-tv-radio-and-photography,switzerland,year/2018,imports,Current prices,GBP Million,173.7,
creative-industries,it-software-and-computer-services,switzerland,year/2018,imports,Current prices,GBP Million,505.2,
creative-industries,publishing,switzerland,year/2018,imports,Current prices,GBP Million,15.1,
creative-industries,museums-galleries-and-libraries,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,switzerland,year/2018,imports,Current prices,GBP Million,2.9,
digital-sector,manufacturing-of-electronics-and-computers,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,switzerland,year/2018,imports,Current prices,GBP Million,14.2,
digital-sector,software-publishing,switzerland,year/2018,imports,Current prices,GBP Million,4.0,
digital-sector,film-tv-video-radio-and-music,switzerland,year/2018,imports,Current prices,GBP Million,174.5,
digital-sector,telecommunications,switzerland,year/2018,imports,Current prices,GBP Million,89.4,
digital-sector,computer-programming-consultancy-and-related-activities,switzerland,year/2018,imports,Current prices,GBP Million,617.7,
digital-sector,information-service-activities,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,switzerland,year/2018,imports,Current prices,GBP Million,1.7,
cultural-sector,arts,switzerland,year/2018,imports,Current prices,GBP Million,2.1,
cultural-sector,film-tv-and-music,switzerland,year/2018,imports,Current prices,GBP Million,173.9,
cultural-sector,radio,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,switzerland,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,switzerland,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,switzerland,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,switzerland,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,switzerland,year/2018,imports,Current prices,GBP Million,1054.6,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,americas,year/2018,imports,Current prices,GBP Million,5971.8,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,americas,year/2018,imports,Current prices,GBP Million,1944.2,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,americas,year/2018,imports,Current prices,GBP Million,7777.6,
gambling,not-applicable,americas,year/2018,imports,Current prices,GBP Million,15.7,
sport,not-applicable,americas,year/2018,imports,Current prices,GBP Million,92.8,
telecoms,not-applicable,americas,year/2018,imports,Current prices,GBP Million,580.9,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,americas,year/2018,imports,Current prices,GBP Million,8404.1,
creative-industries,advertising-and-marketing,americas,year/2018,imports,Current prices,GBP Million,424.0,
creative-industries,architecture,americas,year/2018,imports,Current prices,GBP Million,9.6,
creative-industries,crafts,americas,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,design-and-designer-fashion,americas,year/2018,imports,Current prices,GBP Million,10.9,
creative-industries,film-tv-radio-and-photography,americas,year/2018,imports,Current prices,GBP Million,1681.2,
creative-industries,it-software-and-computer-services,americas,year/2018,imports,Current prices,GBP Million,3407.8,
creative-industries,publishing,americas,year/2018,imports,Current prices,GBP Million,175.3,
creative-industries,museums-galleries-and-libraries,americas,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,americas,year/2018,imports,Current prices,GBP Million,258.2,
digital-sector,manufacturing-of-electronics-and-computers,americas,year/2018,imports,Current prices,GBP Million,51.4,
digital-sector,wholesale-of-computers-and-electronics,americas,year/2018,imports,Current prices,GBP Million,137.3,
digital-sector,publishing-excluding-translation-and-interpretation-activities,americas,year/2018,imports,Current prices,GBP Million,165.4,
digital-sector,software-publishing,americas,year/2018,imports,Current prices,GBP Million,201.0,
digital-sector,film-tv-video-radio-and-music,americas,year/2018,imports,Current prices,GBP Million,1880.7,
digital-sector,telecommunications,americas,year/2018,imports,Current prices,GBP Million,580.9,
digital-sector,computer-programming-consultancy-and-related-activities,americas,year/2018,imports,Current prices,GBP Million,4372.7,
digital-sector,information-service-activities,americas,year/2018,imports,Current prices,GBP Million,361.3,
digital-sector,repair-of-computers-and-communication-equipment,americas,year/2018,imports,Current prices,GBP Million,27.0,
cultural-sector,arts,americas,year/2018,imports,Current prices,GBP Million,55.0,
cultural-sector,film-tv-and-music,americas,year/2018,imports,Current prices,GBP Million,1879.4,
cultural-sector,radio,americas,year/2018,imports,Current prices,GBP Million,1.3,
cultural-sector,photography,americas,year/2018,imports,Current prices,GBP Million,3.7,
cultural-sector,cultural-crafts,americas,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,museums-and-galleries,americas,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,americas,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,americas,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,americas,year/2018,imports,Current prices,GBP Million,,suppressed
audio-visual,audio-visual,americas,year/2018,imports,Current prices,GBP Million,1890.9,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,nafta,year/2018,imports,Current prices,GBP Million,5825.4,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,nafta,year/2018,imports,Current prices,GBP Million,1931.8,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,nafta,year/2018,imports,Current prices,GBP Million,7577.9,
gambling,not-applicable,nafta,year/2018,imports,Current prices,GBP Million,15.1,
sport,not-applicable,nafta,year/2018,imports,Current prices,GBP Million,37.9,
telecoms,not-applicable,nafta,year/2018,imports,Current prices,GBP Million,537.1,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,nafta,year/2018,imports,Current prices,GBP Million,8132.3,
creative-industries,advertising-and-marketing,nafta,year/2018,imports,Current prices,GBP Million,411.4,
creative-industries,architecture,nafta,year/2018,imports,Current prices,GBP Million,8.8,
creative-industries,crafts,nafta,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,nafta,year/2018,imports,Current prices,GBP Million,10.4,
creative-industries,film-tv-radio-and-photography,nafta,year/2018,imports,Current prices,GBP Million,1670.3,
creative-industries,it-software-and-computer-services,nafta,year/2018,imports,Current prices,GBP Million,3295.7,
creative-industries,publishing,nafta,year/2018,imports,Current prices,GBP Million,167.4,
creative-industries,museums-galleries-and-libraries,nafta,year/2018,imports,Current prices,GBP Million,4.4,
creative-industries,music-performing-and-visual-arts,nafta,year/2018,imports,Current prices,GBP Million,256.9,
digital-sector,manufacturing-of-electronics-and-computers,nafta,year/2018,imports,Current prices,GBP Million,47.5,
digital-sector,wholesale-of-computers-and-electronics,nafta,year/2018,imports,Current prices,GBP Million,135.0,
digital-sector,publishing-excluding-translation-and-interpretation-activities,nafta,year/2018,imports,Current prices,GBP Million,159.1,
digital-sector,software-publishing,nafta,year/2018,imports,Current prices,GBP Million,129.5,
digital-sector,film-tv-video-radio-and-music,nafta,year/2018,imports,Current prices,GBP Million,1869.3,
digital-sector,telecommunications,nafta,year/2018,imports,Current prices,GBP Million,537.1,
digital-sector,computer-programming-consultancy-and-related-activities,nafta,year/2018,imports,Current prices,GBP Million,4319.6,
digital-sector,information-service-activities,nafta,year/2018,imports,Current prices,GBP Million,357.8,
digital-sector,repair-of-computers-and-communication-equipment,nafta,year/2018,imports,Current prices,GBP Million,23.2,
cultural-sector,arts,nafta,year/2018,imports,Current prices,GBP Million,54.3,
cultural-sector,film-tv-and-music,nafta,year/2018,imports,Current prices,GBP Million,1868.4,
cultural-sector,radio,nafta,year/2018,imports,Current prices,GBP Million,0.9,
cultural-sector,photography,nafta,year/2018,imports,Current prices,GBP Million,3.7,
cultural-sector,cultural-crafts,nafta,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,nafta,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,nafta,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,nafta,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,nafta,year/2018,imports,Current prices,GBP Million,,suppressed
audio-visual,audio-visual,nafta,year/2018,imports,Current prices,GBP Million,1878.5,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,canada,year/2018,imports,Current prices,GBP Million,215.2,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,canada,year/2018,imports,Current prices,GBP Million,40.9,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,canada,year/2018,imports,Current prices,GBP Million,335.0,
gambling,not-applicable,canada,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,canada,year/2018,imports,Current prices,GBP Million,1.4,
telecoms,not-applicable,canada,year/2018,imports,Current prices,GBP Million,53.8,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,canada,year/2018,imports,Current prices,GBP Million,348.8,
creative-industries,advertising-and-marketing,canada,year/2018,imports,Current prices,GBP Million,9.7,
creative-industries,architecture,canada,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,canada,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,canada,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,canada,year/2018,imports,Current prices,GBP Million,36.4,
creative-industries,it-software-and-computer-services,canada,year/2018,imports,Current prices,GBP Million,158.8,
creative-industries,publishing,canada,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,museums-galleries-and-libraries,canada,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,canada,year/2018,imports,Current prices,GBP Million,4.2,
digital-sector,manufacturing-of-electronics-and-computers,canada,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,canada,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,canada,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,software-publishing,canada,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,canada,year/2018,imports,Current prices,GBP Million,39.7,
digital-sector,telecommunications,canada,year/2018,imports,Current prices,GBP Million,53.8,
digital-sector,computer-programming-consultancy-and-related-activities,canada,year/2018,imports,Current prices,GBP Million,224.0,
digital-sector,information-service-activities,canada,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,canada,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,canada,year/2018,imports,Current prices,GBP Million,0.9,
cultural-sector,film-tv-and-music,canada,year/2018,imports,Current prices,GBP Million,39.7,
cultural-sector,radio,canada,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,canada,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,canada,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,canada,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,canada,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,canada,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,canada,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,canada,year/2018,imports,Current prices,GBP Million,35.7,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,mexico,year/2018,imports,Current prices,GBP Million,18.3,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,mexico,year/2018,imports,Current prices,GBP Million,3.6,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,mexico,year/2018,imports,Current prices,GBP Million,24.3,
gambling,not-applicable,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,mexico,year/2018,imports,Current prices,GBP Million,0.5,
telecoms,not-applicable,mexico,year/2018,imports,Current prices,GBP Million,5.8,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,mexico,year/2018,imports,Current prices,GBP Million,27.0,
creative-industries,advertising-and-marketing,mexico,year/2018,imports,Current prices,GBP Million,1.4,
creative-industries,architecture,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,mexico,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,mexico,year/2018,imports,Current prices,GBP Million,3.4,
creative-industries,it-software-and-computer-services,mexico,year/2018,imports,Current prices,GBP Million,8.0,
creative-industries,publishing,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,museums-galleries-and-libraries,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,mexico,year/2018,imports,Current prices,GBP Million,0.1,
digital-sector,manufacturing-of-electronics-and-computers,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,software-publishing,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,mexico,year/2018,imports,Current prices,GBP Million,3.2,
digital-sector,telecommunications,mexico,year/2018,imports,Current prices,GBP Million,5.8,
digital-sector,computer-programming-consultancy-and-related-activities,mexico,year/2018,imports,Current prices,GBP Million,9.5,
digital-sector,information-service-activities,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,mexico,year/2018,imports,Current prices,GBP Million,0.1,
cultural-sector,film-tv-and-music,mexico,year/2018,imports,Current prices,GBP Million,3.2,
cultural-sector,radio,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,mexico,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,mexico,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,mexico,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,mexico,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,mexico,year/2018,imports,Current prices,GBP Million,3.2,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,usa,year/2018,imports,Current prices,GBP Million,5591.9,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,usa,year/2018,imports,Current prices,GBP Million,1887.2,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,usa,year/2018,imports,Current prices,GBP Million,7218.6,
gambling,not-applicable,usa,year/2018,imports,Current prices,GBP Million,14.9,
sport,not-applicable,usa,year/2018,imports,Current prices,GBP Million,36.0,
telecoms,not-applicable,usa,year/2018,imports,Current prices,GBP Million,477.5,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,usa,year/2018,imports,Current prices,GBP Million,7756.5,
creative-industries,advertising-and-marketing,usa,year/2018,imports,Current prices,GBP Million,400.3,
creative-industries,architecture,usa,year/2018,imports,Current prices,GBP Million,8.4,
creative-industries,crafts,usa,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,usa,year/2018,imports,Current prices,GBP Million,9.8,
creative-industries,film-tv-radio-and-photography,usa,year/2018,imports,Current prices,GBP Million,1630.5,
creative-industries,it-software-and-computer-services,usa,year/2018,imports,Current prices,GBP Million,3128.9,
creative-industries,publishing,usa,year/2018,imports,Current prices,GBP Million,157.4,
creative-industries,museums-galleries-and-libraries,usa,year/2018,imports,Current prices,GBP Million,4.1,
creative-industries,music-performing-and-visual-arts,usa,year/2018,imports,Current prices,GBP Million,252.6,
digital-sector,manufacturing-of-electronics-and-computers,usa,year/2018,imports,Current prices,GBP Million,46.7,
digital-sector,wholesale-of-computers-and-electronics,usa,year/2018,imports,Current prices,GBP Million,132.5,
digital-sector,publishing-excluding-translation-and-interpretation-activities,usa,year/2018,imports,Current prices,GBP Million,149.6,
digital-sector,software-publishing,usa,year/2018,imports,Current prices,GBP Million,126.7,
digital-sector,film-tv-video-radio-and-music,usa,year/2018,imports,Current prices,GBP Million,1826.4,
digital-sector,telecommunications,usa,year/2018,imports,Current prices,GBP Million,477.5,
digital-sector,computer-programming-consultancy-and-related-activities,usa,year/2018,imports,Current prices,GBP Million,4086.1,
digital-sector,information-service-activities,usa,year/2018,imports,Current prices,GBP Million,350.6,
digital-sector,repair-of-computers-and-communication-equipment,usa,year/2018,imports,Current prices,GBP Million,22.5,
cultural-sector,arts,usa,year/2018,imports,Current prices,GBP Million,53.3,
cultural-sector,film-tv-and-music,usa,year/2018,imports,Current prices,GBP Million,1825.6,
cultural-sector,radio,usa,year/2018,imports,Current prices,GBP Million,0.9,
cultural-sector,photography,usa,year/2018,imports,Current prices,GBP Million,3.4,
cultural-sector,cultural-crafts,usa,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,usa,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,usa,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,usa,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,usa,year/2018,imports,Current prices,GBP Million,,suppressed
audio-visual,audio-visual,usa,year/2018,imports,Current prices,GBP Million,1839.6,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,137.3,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,12.4,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,187.1,
gambling,not-applicable,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,0.6,
sport,not-applicable,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,54.9,
telecoms,not-applicable,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,40.3,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,259.2,
creative-industries,advertising-and-marketing,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,12.7,
creative-industries,architecture,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,design-and-designer-fashion,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,10.8,
creative-industries,it-software-and-computer-services,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,103.0,
creative-industries,publishing,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,7.9,
creative-industries,museums-galleries-and-libraries,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,1.3,
digital-sector,manufacturing-of-electronics-and-computers,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,2.2,
digital-sector,publishing-excluding-translation-and-interpretation-activities,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,6.4,
digital-sector,software-publishing,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,11.4,
digital-sector,telecommunications,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,40.3,
digital-sector,computer-programming-consultancy-and-related-activities,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,44.0,
digital-sector,information-service-activities,latin-america-caribbean,year/2018,imports,Current prices,GBP Million,3.5,
