Sector,Subsector,Country,Year,Flow,Measure Type,Unit,Value,Marker
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,europe,year/2018,imports,Current prices,GBP Million,1920.1,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,europe,year/2018,imports,Current prices,GBP Million,17715.0,
gambling,not-applicable,europe,year/2018,imports,Current prices,GBP Million,43.1,
sport,not-applicable,europe,year/2018,imports,Current prices,GBP Million,1090.1,
telecoms,not-applicable,europe,year/2018,imports,Current prices,GBP Million,3124.2,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,europe,year/2018,imports,Current prices,GBP Million,20208.7,
creative-industries,advertising-and-marketing,europe,year/2018,imports,Current prices,GBP Million,1145.3,
creative-industries,architecture,europe,year/2018,imports,Current prices,GBP Million,37.4,
creative-industries,crafts,europe,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,design-and-designer-fashion,europe,year/2018,imports,Current prices,GBP Million,48.3,
creative-industries,film-tv-radio-and-photography,europe,year/2018,imports,Current prices,GBP Million,1761.5,
creative-industries,it-software-and-computer-services,europe,year/2018,imports,Current prices,GBP Million,5272.8,
creative-industries,publishing,europe,year/2018,imports,Current prices,GBP Million,197.5,
creative-industries,museums-galleries-and-libraries,europe,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,europe,year/2018,imports,Current prices,GBP Million,147.0,
digital-sector,manufacturing-of-electronics-and-computers,europe,year/2018,imports,Current prices,GBP Million,24.5,
digital-sector,wholesale-of-computers-and-electronics,europe,year/2018,imports,Current prices,GBP Million,1775.4,
digital-sector,publishing-excluding-translation-and-interpretation-activities,europe,year/2018,imports,Current prices,GBP Million,134.4,
digital-sector,software-publishing,europe,year/2018,imports,Current prices,GBP Million,274.5,
digital-sector,film-tv-video-radio-and-music,europe,year/2018,imports,Current prices,GBP Million,1853.6,
digital-sector,telecommunications,europe,year/2018,imports,Current prices,GBP Million,3124.2,
digital-sector,computer-programming-consultancy-and-related-activities,europe,year/2018,imports,Current prices,GBP Million,8415.9,
digital-sector,information-service-activities,europe,year/2018,imports,Current prices,GBP Million,1918.5,
digital-sector,repair-of-computers-and-communication-equipment,europe,year/2018,imports,Current prices,GBP Million,193.8,
cultural-sector,arts,europe,year/2018,imports,Current prices,GBP Million,50.0,
cultural-sector,film-tv-and-music,europe,year/2018,imports,Current prices,GBP Million,1855.6,
cultural-sector,radio,europe,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,europe,year/2018,imports,Current prices,GBP Million,4.8,
cultural-sector,cultural-crafts,europe,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,museums-and-galleries,europe,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,europe,year/2018,imports,Current prices,GBP Million,3.8,
cultural-sector,cultural-education,europe,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,europe,year/2018,imports,Current prices,GBP Million,,suppressed
audio-visual,audio-visual,europe,year/2018,imports,Current prices,GBP Million,2755.9,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,european-union,year/2018,imports,Current prices,GBP Million,6632.1,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,european-union,year/2018,imports,Current prices,GBP Million,1630.4,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,european-union,year/2018,imports,Current prices,GBP Million,13531.9,
gambling,not-applicable,european-union,year/2018,imports,Current prices,GBP Million,42.4,
sport,not-applicable,european-union,year/2018,imports,Current prices,GBP Million,988.3,
telecoms,not-applicable,european-union,year/2018,imports,Current prices,GBP Million,2904.7,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,european-union,year/2018,imports,Current prices,GBP Million,15835.3,
creative-industries,advertising-and-marketing,european-union,year/2018,imports,Current prices,GBP Million,1097.9,
creative-industries,architecture,european-union,year/2018,imports,Current prices,GBP Million,36.4,
creative-industries,crafts,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,design-and-designer-fashion,european-union,year/2018,imports,Current prices,GBP Million,42.6,
creative-industries,film-tv-radio-and-photography,european-union,year/2018,imports,Current prices,GBP Million,1482.9,
creative-industries,it-software-and-computer-services,european-union,year/2018,imports,Current prices,GBP Million,3713.5,
creative-industries,publishing,european-union,year/2018,imports,Current prices,GBP Million,117.0,
creative-industries,museums-galleries-and-libraries,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,european-union,year/2018,imports,Current prices,GBP Million,137.0,
digital-sector,manufacturing-of-electronics-and-computers,european-union,year/2018,imports,Current prices,GBP Million,22.5,
digital-sector,wholesale-of-computers-and-electronics,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,european-union,year/2018,imports,Current prices,GBP Million,82.5,
digital-sector,software-publishing,european-union,year/2018,imports,Current prices,GBP Million,266.3,
digital-sector,film-tv-video-radio-and-music,european-union,year/2018,imports,Current prices,GBP Million,1569.1,
digital-sector,telecommunications,european-union,year/2018,imports,Current prices,GBP Million,2904.7,
digital-sector,computer-programming-consultancy-and-related-activities,european-union,year/2018,imports,Current prices,GBP Million,6287.7,
digital-sector,information-service-activities,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,european-union,year/2018,imports,Current prices,GBP Million,47.2,
cultural-sector,film-tv-and-music,european-union,year/2018,imports,Current prices,GBP Million,1571.6,
cultural-sector,radio,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,museums-and-galleries,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,library-and-archives,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,european-union,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,european-union,year/2018,imports,Current prices,GBP Million,,suppressed
audio-visual,audio-visual,european-union,year/2018,imports,Current prices,GBP Million,1585.8,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,austria,year/2018,imports,Current prices,GBP Million,57.0,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,austria,year/2018,imports,Current prices,GBP Million,15.2,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,austria,year/2018,imports,Current prices,GBP Million,93.8,
gambling,not-applicable,austria,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,austria,year/2018,imports,Current prices,GBP Million,4.7,
telecoms,not-applicable,austria,year/2018,imports,Current prices,GBP Million,13.2,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,austria,year/2018,imports,Current prices,GBP Million,109.0,
creative-industries,advertising-and-marketing,austria,year/2018,imports,Current prices,GBP Million,4.3,
creative-industries,architecture,austria,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,crafts,austria,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,austria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,austria,year/2018,imports,Current prices,GBP Million,10.9,
creative-industries,it-software-and-computer-services,austria,year/2018,imports,Current prices,GBP Million,39.1,
creative-industries,publishing,austria,year/2018,imports,Current prices,GBP Million,1.7,
creative-industries,museums-galleries-and-libraries,austria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,austria,year/2018,imports,Current prices,GBP Million,0.9,
digital-sector,manufacturing-of-electronics-and-computers,austria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,austria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,austria,year/2018,imports,Current prices,GBP Million,1.5,
digital-sector,software-publishing,austria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,austria,year/2018,imports,Current prices,GBP Million,11.0,
digital-sector,telecommunications,austria,year/2018,imports,Current prices,GBP Million,13.2,
digital-sector,computer-programming-consultancy-and-related-activities,austria,year/2018,imports,Current prices,GBP Million,23.8,
digital-sector,information-service-activities,austria,year/2018,imports,Current prices,GBP Million,0.4,
digital-sector,repair-of-computers-and-communication-equipment,austria,year/2018,imports,Current prices,GBP Million,1.3,
cultural-sector,arts,austria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,film-tv-and-music,austria,year/2018,imports,Current prices,GBP Million,14.3,
cultural-sector,radio,austria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,austria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,austria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,austria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,austria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,austria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,austria,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,austria,year/2018,imports,Current prices,GBP Million,11.1,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,belgium,year/2018,imports,Current prices,GBP Million,166.0,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,belgium,year/2018,imports,Current prices,GBP Million,18.4,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,belgium,year/2018,imports,Current prices,GBP Million,328.0,
gambling,not-applicable,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,belgium,year/2018,imports,Current prices,GBP Million,7.1,
